Roman Entry,Greek Entry,ID
allos,ἄλλος
amylon,ἄμυλον
ana,ἀνά
anatomia,ἀνατομία
androlempsia,ἀνδρολημψία
apokalyptikos,ἀποκαλυπτικός
apsintheon,ἀψίνθιον
archaikos,ἀρχαϊκός
archaismos,ἀρχαϊσμός
archi,ἀρχι
arche,ἀρχή
archeion,ἀρχεῖον
arithmetike,ἀριθμητική
aroma,ἄρωμα
asparagos,ἀσπάραγος
asteroides,ἀστεροειδής
auto,αὐτώ
automaton,αὐτόματον
autos,αὐτός
bainein,βαίνειν
ballein,βάλλειν
basilike,βασιλική
batos,βάτος
bema,βῆμα
beta,βῆτα
bikion,βικίον
bios,βίος
bursinon,βύρσινος
chaos,χάος
cheir,χείρ
chroma,χρῶμα
deigma,δείγμα
demotikos,δημοτικός
diabetes,διαβήτης
dialektike,διαλεκτική
docheion,δοχεῖον
dodekahedron,δωδεκάεδρον
dorikos,Δωρικός
doron,δῶρον
doylos,δούλος
drama,δρᾶμα
dyo,δύο
embolon,ἔμβολον
entoma,ἔντομα
epeisodion,ἐπεισόδιον
epi,ἐπί
epikarsion,ἐπικάρσιον
epikomion,ἐπικώμιον
ergon,ἔργον
gennaios,γενναῖος
geo,γεω
geranion,γεράνιον
geronto,γεροντο
glyphein,γλύφειν
grammai,γραμμαί
grammatike,γραμματική
grapheion,γραφεῖον
graphike,γραφική
heroikos,ἡρωϊκός
hierarchia,ἱεραρχία
hieroglyphika,ἱερογλυφικάs
holos,ὅλος
hormon,ὁρμῶν
hybris,ὕβρις
hymenaios,ὑμέναιος
hypochondria,ὑποχόνδρια
ichthys,ἰχθύς
idiotes,ἰδιώτης
idiosynkrasia,ἰδιοσυγκρασία
ion,ἴον
ios,ἰός
isos,ἴσος
iteinon,ἰτέϊνον
kadmos,Κάδμος
kaisar,Καῖσαρ
kalpe,κάλπη
karron,κάρρον
kata,κατά
kelainon,κελαινόν
kelon,κήλων
kentron,κέντρον
keras,κέρας
kinein,κῑνεῖν
kinklis,κίγκλις
klimax,κλῖμαξ
kolias,κολίας
kolla,κόλλα
kollybon,κόλλυβον
kollyrion,κολλυρίων
kome,κόμη
kometes,κομήτης
kommi,κόμμι
komos,κῶμος
konditon,κονδῖτον
konopeion,κωνωπεῖον
konos,κῶνος
kontos,κοντός
kopis,κοπίς
koros,κόρος
kosmetike,κοσμητική
lampas,λαμπάς
larynx,λάρυγξ
leukoion,λευκόιον
lexikon,λεξικόν
logike,λογική
logistike,λογιστική
lonche,λόγχη
loxon,λοξόν
marra,μαρρα
magnesia,μαγνησία
magnetis,μαγνῆτις
makro,μακρο
manganon,μάγγανον
mania,μανία
mathematike,μαθηματική
maza,μᾶζα
mechanika,μηχανικά
medousa,Μέδουσα
melancholia,μελαγχολία
metrikos,μετρικός
metron,μέτρον
mimos,μίμος
minthe,μίνθη
mono,μονό
monochordon,μονόχορδον
mousa,Μοῦσα
mouseion,μουσεῖον
mythos,μῦθος
nanos,νᾶνος
nardinon,νάρδινον
narkotikon,ναρκωτικόν
nomike,νομική
nomos,νόμος
notarikon,νοταρικόν
ode,ᾠδή
odon,ὀδών
oinos,οἶνος
oktaedron,ὀκτάεδρον
onkinos,ὄγκινος
optos,ὀπτός
orion,Ὠρίων
ounkia,οὐγκιά
pais,παῖς
palaistine,παλαιστίνη
parallelogrammon,παραλληλόγραμμον
parodia,παρῳδία
paxamas,παξαμᾶς
pedon,πέδον
pegma,πῆγμα
peisis,πεῖσις
penta,πεντα
pentagonon,πεντάγωνον
perimetros,περίμετρος
periodos,περίοδος
phakelos,φάκελος
phanos,φανός
phantastikos,φανταστικός
phoinix,φοῖνιξ
phone,φωνή
phono,φωνο
photo,φωτο
phukos,φῦκος
phykos,φῦκος
physike,φυσική
plateia,πλατεῖα
poietike,ποιητική
poly,πολύ
polyglottos,πολύγλωττος
pro,πρό
proto,πρωτο
pyr,πῦρ
python,πύθων
rhapsodia,ῥαψῳδία
rhetor,ῥήτωρ
rhetorike,ρητορική
rheumatismos,ῥευματισμός
rhythmikos,ῥυθμικός
rododaphne,ροδοδάφνη
rombos,ῥόμβος
rykane,ῥυκάνη
salpinx,σάλπιγξ
schema,σχῆμα
semeion,σημεῖον
sinai,Σῖναι
skopion,σκόπιον
skopein,σκοπεῖν
smeri,σμερί
speira,σπείρα
sphaira,σφαῖρα
sphinx,σφίγξ
sphongos,σφόγγος
stenos,στενός
stoa,στοά
strobilos,στρόβιλος
sym,συμ
symphonon,σύμφωνον
synchronos,σύνχρονος
synkope,συγκοπή
synkretismos,συγκρητισμός
synodos,σύνοδος
systema,σύστημα
taktika,τακτικά
taos,ταώς
tektonike,τεκτονική
tetra,τετρα
thermos,θερμός
thērmos,θέρμος
toxikon,τοξικόν
typhon,τυφῶν
veikos,νεῖκος
xenos,ξένος
xylon,ξύλον
zoon,ζῷον
aloe,ἀλόη
anaklita,ἀνάκλιτα
ankyle,ἀγκύλη
antagonisma,ἀνταγώνισμα
beledarios,βερηδάριος
bibarion,βιβάριον
boethos,Βοηθός
bulos,βῶλος
chalkisidos,χαλκίς - ίδος
cheiroergos,χειρουργός
choreus,χορεῖος
damaskanon,Δαμασκηνόν
delator,δηλάτωρ
delatoria,δηλατωρία
delphike,δελφική
dischistos,δίσχιστος
dodechadachtulon,δωδεκαδάκτυλον
dragon,δράκων
eikoncon,εἰκόνιον
embate,ἐμβατή
empilion,ἐμπίλιον
ergalia,ἐργαλεῖα
eschala,ἐσχάρα
ethicos,ἠθικός
ethos,ἦθος
etnarches,ἐθνάρχης
geeina,γέεννα
gorilla,γορίλλα
hospition,ὁσπίτιον
hyakintos,ὑάκινθος
kanoun,κανοῦν
karoun,κάρυον
kensos,κῆνσος
kentourion,κεντυρίων
kentroun,κεντροῦν
kibetion,κιβώτιον
kinnamonon,κιννάμωμον
kolea,κωλέα
kolix,κόλλιξ
koukkoumion,κουκκούμιον
kyan,κύαν
lenteon,λέντιον
lixon,λοξόν
martyrologia,μαρτυρολόγια
mazonomos,μᾱζονόμος
melole,μηλωτή
metaron,μητάτωρ
meteor,μετέωρ
mikro,μικρο-
neo,νεο
nima,νῆμα
noumeron,νούμερον
ogmos,ὄγμος
oisun,οἶσον
olympias,Ὀλυμπιάς
one,ὠνή
pan,Πάν,23020
pan,πᾶν,23021
pan,πᾶν,23037
pan,πᾶν,23040
pandakion,πανδοκεῖον
physio,ϕυσιο-
piale,φιάλη
polymarchos,πολέμαρχος
proedrion,πρόεδρον
prostada,προστάδα
pterix,πτέρυξ
romboeides,ῥομβοειδής
sabbateion,Σαββατεῖον
sampsychon,σάμψυχον
sandalarius,σανδαλάριος
seismo,σεισμό
smargados,σμάραγδος
soudariom,σουδάριον
statiotes,στρατιώτης
symbolai,συμβολαί
sympathetikos,συμπαθητικός
synchronismos,συγχρονισμός
synchronizein,συγχρονίζειν
synonimon,συνώνυμον
synteres,συντηρείς
tameíon,ταμεῖον
trignonon,τρίγωνον
tritemorion,τριτημόριον
tropaikon,τροπαϊκόν
tzichla,τσίχλα
symphoreon,συμφορέων
pros boule bouleuton,πρός βουλῇ βουλευτῶν
ta optika,τὰ ὀπτικά